κύδιστ’ ἀθανάτων, πολυώνυμε, παγκρατὲς αἰεί,	-- -uu- uu-uu -uu --	dactylic hexameter	masculine penthemimeral
Ζεῦ, φύσεως ἀρχηγέ, νόμου μέτα πάντα κυβερνῶν,	- -- --u u- uu -u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
χαῖρε· σὲ γὰρ πάντεσσι θέμις θνητοῖσι προσαυδᾶν.	-u u - --u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἐκ σοῦ γὰρ γενόμεσθα θεοῦ μίμημα λαχόντες	- - - uu-u u- --u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
μοῦνοι, ὅσα ζώει τε καὶ ἕρπει θνήτ’ ἐπὶ γαῖαν·	-u u- -- u u -- - uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
τῷ σε καθυμνήσω, καὶ σὸν κράτος αἰὲν ἀείσω.	- u u--- - - uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
σοὶ δὴ πᾶς ὅδε κόσμος, ἑλισσόμενος περὶ γαῖαν,	- - - uu -u u-uu- uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
πείθεται, ᾗ κεν ἄγῃς, καὶ ἑκὼν ὑπὸ σεῖο κρατεῖται·	-uu - u u- u u- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
τοῖον ἔχεις ὑποεργὸν ἀνικήτοις ἐνὶ χερσὶν	-u u- uu-u u--- uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
ἀμφήκη πυρόεντ’ ἀειζώοντα κεραυνόν·	--- uu- ----u u--	dactylic hexameter	masculine penthemimeral, trithemimeral
τοῦ γὰρ ὑπὸ πληγῇς φύσεως πάντ’ ἔργα <τελεῖται>·	- u u- -- uu- - -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ᾧ σὺ κατευθύνεις κοινὸν λόγον, ὃς διὰ πάντων	- u u--- -- uu - uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
φοιτᾷ, μιγνύμενος μεγάλῳ μικροῖς τε φάεσσιν·	-- -uu- uu- -- u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
†ᾧ σὺ τόσος† γεγαὼς ὕπατος βασιλεὺς διὰ παντός.	- u u- uu- uu- uu- uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
οὐδέ τι γίγνεται ἔργον ἐπὶ χθονὶ σοῦ δίχα, δαῖμον,	-u u -uu -u u- uu - uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral
οὔτε κατ’ αἰθέριον θεῖον πόλον, οὔτ’ ἐνὶ πόντῳ,	-u u -uu- -- uu - uu --	dactylic hexameter	masculine penthemimeral, hepthemimeral
πλὴν ὁπόσα ῥέζουσι κακοὶ σφετέραισιν ἀνοίαις.	- uu- --u u- uu-u u--	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ἀλλὰ σὺ καὶ τὰ περισσὰ ἐπίστασαι ἄρτια θεῖναι,	-u u - u u-u u-uu -uu --	dactylic hexameter	feminine penthemimeral, trithemimeral
καὶ κοσμεῖν τἄκοσμα, καὶ οὐ φίλα σοὶ φίλα ἐστίν.	- -- --u u - uu - uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
ὧδε γὰρ εἰς ἓν πάντα συνήρμοκας ἐσθλὰ κακοῖσιν,	-u u - - -u u-uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ὥσθ’ ἕνα γίγνεσθαι πάντων λόγον αἰὲν ἐόντα,	- uu --- -- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ὃν φεύγοντες ἐῶσιν ὅσοι θνητῶν κακοί εἰσιν,	- --u u-u u- -- uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral
δύσμοροι, οἵ τ᾽ ἀγαθῶν μὲν ἀεὶ κτῆσιν ποθέοντες	-uu - uu- u u- -- uu--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
οὔτ’ ἐσορῶσι θεοῦ κοινὸν νόμον οὔτε κλύουσιν,	- uu-u u- -- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
ᾧ κεν πειθόμενοι σὺν νῷ βίον ἐσθλὸν ἔχοιεν·	- - -uu- - - uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral
αὐτοὶ δ᾽ αὖθ’ ὁρμῶσιν ἄνευ καλοῦ ἄλλος ἐπ’ ἄλλα·	-- - --u u- uu -u u --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
οἳ μὲν ὑπὲρ δόξης σπουδὴν δυσέριστον ἔχοντες,	- u u- -- -- uu-u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
οἳ δ᾽ ἐπὶ κερδοσύνας τετραμμένοι οὐδενὶ κόσμῳ,	- uu -uu- --uu -uu --	dactylic hexameter	masculine penthemimeral
ἄλλοι δ᾽ εἰς ἄνεσιν καὶ σώματος ἡδέα ἔργα.	-- - uu- - -uu -uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
ἀλλὰ κακοῖς ἐπέκυρσαν> ἐπ’ ἄλλοτε δ᾽ ἄλλα φέρονται,	-u u- uu-u u -uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
σπεύδοντες μάλα πάμπαν ἐναντία τῶνδε γενέσθαι.	--- uu -u u-uu -u u--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἀλλὰ Ζεῦ πάνδωρε, κελαινεφὲς, ἀργικέραυνε,	-- - --u u-uu -uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
ἀνθρώπους ῥύου <σύ γ’> ἀπειροσύνης ἀπὸ λυγρῆς,	--- -- u u-uu- uu --	dactylic hexameter	masculine penthemimeral, trithemimeral
ἣν σύ, πάτερ, σκέδασον ψυχῆς ἄπο, δὸς δὲ κυρῆσαι	- u u- uu- -- uu - u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
γνώμης, ᾗ πίσυνος σὺ δίκης μέτα πάντα κυβερνᾷς,	-- - uu- u u- uu -u u--	dactylic hexameter	masculine penthemimeral, hepthemimeral, trithemimeral
ὄφρ’ ἂν τιμηθέντες ἀμειβώμεσθά σε τιμῇ,	- - ---u u---u u --	dactylic hexameter	feminine penthemimeral
ὑμνοῦντες τὰ σὰ ἔργα διηνεκές, ὡς ἐπέοικε	--- u u -u u-uu - uu--	dactylic hexameter	feminine penthemimeral, trithemimeral
θνητὸν ἐόντ’, ἐπεὶ οὔτε βροτοῖς γέρας ἄλλο τι μεῖζον	-u u- uu -u u- uu -u u --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
οὔτε θεοῖς, ἢ κοινὸν ἀεὶ νόμον ἐν δίκῃ ὑμνεῖν.	-u u- - -u u- uu - uu --	dactylic hexameter	feminine penthemimeral, hepthemimeral, trithemimeral
